Страна,Год,Число студентов из РФ
Kyrgyzstan,2001,814
Kyrgyzstan,2002,245
Kyrgyzstan,2003,371
Kyrgyzstan,2004,277
Kyrgyzstan,2005,362
Kyrgyzstan,2006,356
Kyrgyzstan,2007,399
Kyrgyzstan,2008,649
Kyrgyzstan,2009,748
Kyrgyzstan,2010,842
Kyrgyzstan,2011,818
Kyrgyzstan,2012,847
Kyrgyzstan,2013,927
Kyrgyzstan,2014,1302
Kyrgyzstan,2015,1377
Kyrgyzstan,2016,1186
Kyrgyzstan,2017,910
Kyrgyzstan,2018,1535
Kyrgyzstan,2019,1622
Kyrgyzstan,2020,1844
Kyrgyzstan,2021,2005
Kyrgyzstan,2022,1672
Kyrgyzstan,2023,2474
Kyrgyzstan,2024,2623
"Korea, Republic of",2000,77
"Korea, Republic of",2001,65
"Korea, Republic of",2002,100
"Korea, Republic of",2003,153
"Korea, Republic of",2004,166
"Korea, Republic of",2005,185
"Korea, Republic of",2006,254
"Korea, Republic of",2007,243
"Korea, Republic of",2008,248
"Korea, Republic of",2009,252
"Korea, Republic of",2010,346
"Korea, Republic of",2011,340
"Korea, Republic of",2012,330
"Korea, Republic of",2013,314
"Korea, Republic of",2014,320
"Korea, Republic of",2015,349
"Korea, Republic of",2016,420
"Korea, Republic of",2017,443
"Korea, Republic of",2018,473
"Korea, Republic of",2019,481
"Korea, Republic of",2020,505
"Korea, Republic of",2021,614
"Korea, Republic of",2022,787
"Korea, Republic of",2023,1015
"Korea, Republic of",2024,1351
Kuwait,2008,5
Kuwait,2009,2
Lao People's Democratic Republic,2001,0
Lao People's Democratic Republic,2002,0
Lao People's Democratic Republic,2003,0
Lao People's Democratic Republic,2004,0
Lao People's Democratic Republic,2005,0
Lao People's Democratic Republic,2006,0
Lao People's Democratic Republic,2007,0
Lao People's Democratic Republic,2008,0
Lao People's Democratic Republic,2009,1
Lao People's Democratic Republic,2010,1
Lao People's Democratic Republic,2011,1
Lao People's Democratic Republic,2012,2
Lao People's Democratic Republic,2013,0
Lao People's Democratic Republic,2014,1
Lao People's Democratic Republic,2015,0
Lao People's Democratic Republic,2016,0
Lao People's Democratic Republic,2017,1
Lao People's Democratic Republic,2018,0
Lao People's Democratic Republic,2019,0
Lao People's Democratic Republic,2020,0
Liechtenstein,2004,3
Liechtenstein,2006,1
Liechtenstein,2007,0
Liechtenstein,2008,1
Liechtenstein,2009,1
Liechtenstein,2010,1
Liechtenstein,2011,0
Liechtenstein,2012,3
Liechtenstein,2014,7
Liechtenstein,2015,4
Liechtenstein,2016,3
Liechtenstein,2017,6
Liechtenstein,2018,5
Liechtenstein,2019,6
Liechtenstein,2020,4
Liechtenstein,2021,3
Sri Lanka,2013,0
Sri Lanka,2014,0
Sri Lanka,2015,0
Sri Lanka,2016,0
Sri Lanka,2017,0
Sri Lanka,2018,0
Sri Lanka,2019,1
Sri Lanka,2020,0
Sri Lanka,2021,0
Sri Lanka,2022,0
Sri Lanka,2023,0
Lithuania,2000,41
Lithuania,2001,34
Lithuania,2002,35
Lithuania,2003,37
Lithuania,2004,28
Lithuania,2005,32
Lithuania,2006,31
Lithuania,2007,41
Lithuania,2008,42
Lithuania,2009,48
Lithuania,2010,60
Lithuania,2011,76
Lithuania,2012,135
Lithuania,2013,236
Lithuania,2014,229
Lithuania,2015,182
Lithuania,2016,160
Lithuania,2017,191
Lithuania,2018,179
Lithuania,2019,0
Lithuania,2020,176
Lithuania,2021,265
Lithuania,2022,317
Lithuania,2023,375
Lithuania,2024,393
Luxembourg,2006,7
Luxembourg,2008,19
Luxembourg,2010,26
Luxembourg,2012,6
Luxembourg,2013,36
Luxembourg,2014,45
Luxembourg,2015,55
Luxembourg,2016,49
Luxembourg,2017,45
Luxembourg,2018,57
Luxembourg,2019,58
Luxembourg,2020,56
Luxembourg,2021,57
Luxembourg,2022,58
Luxembourg,2023,77
Luxembourg,2024,87
Latvia,2000,430
Latvia,2001,189
Latvia,2002,394
Latvia,2003,330
Latvia,2004,276
Latvia,2005,323
Latvia,2007,382
Latvia,2008,382
Latvia,2009,397
Latvia,2010,360
Latvia,2011,361
Latvia,2012,357
Latvia,2013,387
Latvia,2014,482
Latvia,2015,509
Latvia,2016,571
Latvia,2017,516
Latvia,2018,515
Latvia,2019,538
Latvia,2020,548
Latvia,2021,531
Latvia,2022,477
Latvia,2023,364
Latvia,2024,334
Macao,2003,0
Macao,2004,1
Macao,2005,0
Macao,2006,1
Macao,2007,1
Macao,2008,1
Macao,2009,2
Macao,2010,3
Macao,2011,9
Macao,2012,9
Macao,2013,7
Macao,2014,5
Macao,2015,7
Macao,2016,8
Macao,2017,4
Macao,2018,2
Macao,2019,2
Macao,2020,3
Macao,2021,2
Macao,2022,2
Macao,2023,1
Macao,2024,5
Morocco,2003,0
Morocco,2004,0
Morocco,2005,0
Morocco,2006,0
Morocco,2007,3
Morocco,2008,6
Morocco,2009,3
Morocco,2010,1
Morocco,2013,2
Morocco,2014,2
Morocco,2015,5
Morocco,2016,11
Morocco,2017,5
Morocco,2018,11
Morocco,2019,15
Morocco,2020,10
Morocco,2021,10
Morocco,2022,9
Morocco,2023,9
Morocco,2024,8
Monaco,2017,0
Monaco,2020,12
Monaco,2021,12
Monaco,2022,10
Monaco,2023,10
Monaco,2024,13
"Moldova, Republic of",2001,43
"Moldova, Republic of",2002,60
"Moldova, Republic of",2003,71
"Moldova, Republic of",2004,137
"Moldova, Republic of",2005,0
"Moldova, Republic of",2006,174
"Moldova, Republic of",2007,181
"Moldova, Republic of",2008,168
"Moldova, Republic of",2009,141
"Moldova, Republic of",2010,141
"Moldova, Republic of",2011,118
"Moldova, Republic of",2012,113
"Moldova, Republic of",2013,103
"Moldova, Republic of",2014,83
"Moldova, Republic of",2015,74
"Moldova, Republic of",2016,70
"Moldova, Republic of",2017,54
"Moldova, Republic of",2018,58
"Moldova, Republic of",2019,59
"Moldova, Republic of",2020,53
"Moldova, Republic of",2021,60
"Moldova, Republic of",2022,81
"Moldova, Republic of",2023,112
"Moldova, Republic of",2024,125
North Macedonia,2000,0
North Macedonia,2001,1
North Macedonia,2002,0
North Macedonia,2003,0
North Macedonia,2004,0
North Macedonia,2005,0
North Macedonia,2006,1
North Macedonia,2007,1
North Macedonia,2008,1
North Macedonia,2009,0
North Macedonia,2011,0
North Macedonia,2012,1
North Macedonia,2013,1
North Macedonia,2014,0
North Macedonia,2015,1
North Macedonia,2017,5
North Macedonia,2018,1
North Macedonia,2019,3
North Macedonia,2020,0
North Macedonia,2021,0
North Macedonia,2022,0
North Macedonia,2023,0
Malta,2000,1
Malta,2001,54
Malta,2002,39
Malta,2003,57
Malta,2004,45
Malta,2005,0
Malta,2006,42
Malta,2008,35
Malta,2009,38
Malta,2011,25
Malta,2012,29
Malta,2013,34
Malta,2014,40
Malta,2015,34
Malta,2016,33
Malta,2017,32
Malta,2018,29
Malta,2019,30
Malta,2020,28
Malta,2021,26
Malta,2022,32
Malta,2023,40
Mongolia,2000,94
Mongolia,2001,87
Mongolia,2003,47
Mongolia,2004,162
Mongolia,2005,429
Mongolia,2006,623
Mongolia,2007,553
Mongolia,2008,519
Mongolia,2009,454
Mongolia,2010,411
Mongolia,2011,395
Mongolia,2012,372
Mongolia,2013,287
Mongolia,2014,250
Mongolia,2015,254
Mongolia,2016,206
Mongolia,2017,182
Mongolia,2018,180
Mongolia,2019,236
Mongolia,2022,183
Mongolia,2023,278
Mongolia,2024,310
Mozambique,2011,0
Mozambique,2013,2
Mozambique,2014,4
Mozambique,2016,4
Mozambique,2017,0
Mozambique,2018,2
Mauritius,2004,0
Mauritius,2006,0
Mauritius,2010,0
Mauritius,2011,1
Mauritius,2012,1
Mauritius,2013,2
Mauritius,2014,1
Mauritius,2015,1
Mauritius,2016,2
Mauritius,2017,1
Mauritius,2020,0
Mauritius,2021,0
Mauritius,2022,2
Malaysia,2000,32
Malaysia,2001,4
Malaysia,2002,25
Malaysia,2003,34
Malaysia,2004,31
Malaysia,2006,33
Malaysia,2007,34
Malaysia,2008,45
Malaysia,2009,42
Malaysia,2010,56
Malaysia,2011,76
Malaysia,2012,89
Malaysia,2014,168
Malaysia,2015,132
Malaysia,2016,154
Malaysia,2017,144
Malaysia,2019,14
Malaysia,2020,17
Malaysia,2021,67
Malaysia,2022,70
Malaysia,2023,117
Malaysia,2024,220
Namibia,2002,0
Namibia,2003,0
Namibia,2005,0
Namibia,2006,0
Namibia,2008,0
Namibia,2012,0
Namibia,2013,1
Namibia,2014,0
Namibia,2015,0
Namibia,2016,0
Namibia,2017,0
Namibia,2018,1
Namibia,2019,1
Namibia,2020,2
Namibia,2022,0
Nicaragua,2023,4
Netherlands,2000,175
Netherlands,2001,227
Netherlands,2002,255
Netherlands,2003,271
Netherlands,2004,170
Netherlands,2005,291
Netherlands,2006,237
Netherlands,2007,184
Netherlands,2008,211
Netherlands,2009,199
Netherlands,2010,199
Netherlands,2011,336
Netherlands,2012,556
Netherlands,2013,616
Netherlands,2014,668
Netherlands,2015,794
Netherlands,2016,879
Netherlands,2017,882
Netherlands,2018,947
Netherlands,2019,877
Norway,2000,339
Norway,2001,335
Norway,2002,458
Norway,2003,544
Norway,2004,674
Norway,2005,750
Norway,2006,772
Norway,2007,798
Norway,2008,868
Norway,2009,943
Norway,2010,894
Norway,2011,1004
Norway,2012,1061
Norway,2013,624
Norway,2014,608
Norway,2015,548
Norway,2016,516
Norway,2017,369
Norway,2018,481
Norway,2019,227
Norway,2020,306
Norway,2021,272
Norway,2022,285
Norway,2023,251
Norway,2024,242
New Zealand,2000,20
New Zealand,2001,29
New Zealand,2002,58
New Zealand,2003,101
New Zealand,2004,174
New Zealand,2005,203
New Zealand,2007,272
New Zealand,2008,299
New Zealand,2009,284
New Zealand,2010,312
New Zealand,2011,338
New Zealand,2012,336
New Zealand,2013,325
New Zealand,2014,312
New Zealand,2015,320
New Zealand,2016,315
New Zealand,2017,342
New Zealand,2018,393
New Zealand,2019,338
New Zealand,2020,269
New Zealand,2021,156
New Zealand,2022,99
New Zealand,2023,206
New Zealand,2024,280
Oman,2007,0
Oman,2008,0
Oman,2009,0
Oman,2010,0
Oman,2011,0
Oman,2013,1
Oman,2014,0
Oman,2015,0
Oman,2016,1
Oman,2017,3
Oman,2018,3
Oman,2019,3
Oman,2020,3
Oman,2021,5
Oman,2023,1
Oman,2024,3
Panama,2019,2
Panama,2020,4
Panama,2021,5
Panama,2022,6
Philippines,2001,2
Philippines,2002,3
Philippines,2003,2
Philippines,2004,0
Philippines,2005,1
Philippines,2006,0
Philippines,2008,1
Philippines,2024,34
Poland,2000,262
Poland,2001,289
Poland,2002,291
Poland,2003,346
Poland,2004,381
Poland,2005,452
Poland,2006,456
Poland,2007,488
Poland,2008,459
Poland,2009,494
Poland,2010,543
Poland,2011,476
Poland,2012,553
Poland,2013,585
Poland,2014,754
Poland,2015,898
Poland,2016,977
Poland,2017,1042
Poland,2018,799
Poland,2019,792
Poland,2020,1038
Poland,2021,1431
Poland,2022,1570
Poland,2023,1305
Poland,2024,1118
"Korea, Democratic People's Republic of",2009,20
Portugal,2000,10
Portugal,2002,18
Portugal,2003,28
Portugal,2004,37
Portugal,2005,55
Portugal,2006,65
Portugal,2007,85
Portugal,2008,60
Portugal,2009,50
Portugal,2010,55
Portugal,2011,83
Portugal,2012,111
Portugal,2013,106
Portugal,2014,81
Portugal,2015,90
Portugal,2016,82
Portugal,2017,99
Portugal,2018,88
Portugal,2019,95
Portugal,2020,129
Portugal,2021,130
Portugal,2022,140
Portugal,2023,211
Qatar,2002,2
Qatar,2003,0
Qatar,2004,3
Qatar,2005,0
Qatar,2008,5
Qatar,2009,4
Qatar,2010,6
Qatar,2011,9
Qatar,2012,4
Qatar,2013,5
Qatar,2014,6
Qatar,2015,8
Qatar,2016,4
Qatar,2017,8
Qatar,2018,5
Qatar,2019,8
Qatar,2020,12
Qatar,2021,16
Qatar,2022,16
Qatar,2023,25
Qatar,2024,26
Romania,2000,25
Romania,2001,19
Romania,2002,12
Romania,2003,9
Romania,2004,9
Romania,2005,16
Romania,2006,16
Romania,2007,14
Romania,2008,2
Romania,2009,14
Romania,2010,15
Romania,2011,11
Romania,2013,25
Romania,2014,22
Romania,2015,15
Romania,2016,25
Romania,2017,35
Romania,2018,30
Romania,2019,27
Romania,2020,36
Romania,2021,44
Romania,2022,46
Romania,2023,58
Rwanda,2012,2
Rwanda,2013,0
Rwanda,2014,0
Rwanda,2015,0
Rwanda,2017,0
Rwanda,2018,0
Rwanda,2019,0
Rwanda,2020,0
Rwanda,2022,0
Rwanda,2023,0
Rwanda,2024,0
Saudi Arabia,2003,120
Saudi Arabia,2004,148
Saudi Arabia,2005,116
Saudi Arabia,2006,0
Saudi Arabia,2007,78
Saudi Arabia,2008,83
Saudi Arabia,2009,88
Saudi Arabia,2010,119
Saudi Arabia,2011,225
Saudi Arabia,2012,300
Saudi Arabia,2013,520
Saudi Arabia,2014,601
Saudi Arabia,2015,572
Saudi Arabia,2016,584
Saudi Arabia,2017,577
Saudi Arabia,2018,537
Saudi Arabia,2019,356
Saudi Arabia,2020,444
Saudi Arabia,2021,444
Saudi Arabia,2022,479
Saudi Arabia,2024,604
Senegal,2023,0
Senegal,2024,2
El Salvador,2001,1
El Salvador,2003,0
El Salvador,2005,0
El Salvador,2006,1
El Salvador,2007,0
El Salvador,2008,0
El Salvador,2009,0
El Salvador,2010,0
El Salvador,2011,0
El Salvador,2012,0
El Salvador,2013,0
El Salvador,2014,0
El Salvador,2015,0
El Salvador,2016,0
El Salvador,2017,0
El Salvador,2018,0
El Salvador,2019,0
El Salvador,2020,0
El Salvador,2021,0
El Salvador,2022,0
El Salvador,2023,0
Serbia,2007,10
Serbia,2008,18
Serbia,2009,20
Serbia,2010,26
Serbia,2011,22
Serbia,2012,24
Serbia,2013,24
Serbia,2014,26
Serbia,2015,93
Serbia,2016,93
Serbia,2017,120
Serbia,2018,123
Serbia,2019,130
Serbia,2020,140
Serbia,2021,130
Serbia,2022,131
Serbia,2023,189
Serbia,2024,342
Slovakia,2000,28
Slovakia,2001,35
Slovakia,2002,47
Slovakia,2003,32
Slovakia,2004,26
Slovakia,2005,24
Slovakia,2006,14
Slovakia,2007,21
Slovakia,2008,35
Slovakia,2009,40
Slovakia,2010,28
Slovakia,2011,23
Slovakia,2012,25
Slovakia,2013,63
Slovakia,2014,83
Slovakia,2015,99
Slovakia,2016,106
Slovakia,2017,99
Slovakia,2018,138
Slovakia,2019,228
Slovakia,2020,370
Slovakia,2021,580
Slovakia,2022,714
Slovakia,2023,961
Slovakia,2024,1253
Slovenia,2000,10
Slovenia,2001,7
Slovenia,2002,16
Slovenia,2003,17
Slovenia,2004,9
Slovenia,2005,10
Slovenia,2006,11
Slovenia,2007,14
Slovenia,2008,19
Slovenia,2009,28
Slovenia,2010,23
Slovenia,2011,25
Slovenia,2012,37
Slovenia,2013,38
Slovenia,2014,40
Slovenia,2015,47
Slovenia,2016,56
Slovenia,2017,90
Slovenia,2018,111
Slovenia,2019,160
Slovenia,2020,192
Slovenia,2021,227
Slovenia,2022,235
Slovenia,2023,356
Sweden,2000,462
Sweden,2001,524
Sweden,2002,584
Sweden,2003,643
Sweden,2004,54
Sweden,2005,67
Sweden,2006,37
Sweden,2007,65
Sweden,2008,255
Sweden,2009,385
Sweden,2010,471
Sweden,2011,643
Sweden,2012,512
Sweden,2013,420
Sweden,2014,390
Sweden,2015,364
Sweden,2016,357
Sweden,2017,340
Sweden,2018,334
Sweden,2019,303
Sweden,2020,289
Sweden,2021,279
Sweden,2022,299
Sweden,2023,292
Sweden,2024,307
Sint Maarten (Dutch part),2012,1
Sint Maarten (Dutch part),2014,0
Sint Maarten (Dutch part),2015,0
Sint Maarten (Dutch part),2017,0
Thailand,2001,15
Thailand,2002,20
Thailand,2004,14
Thailand,2005,20
Thailand,2006,24
Thailand,2007,22
Thailand,2008,30
Thailand,2009,35
Thailand,2010,47
Thailand,2011,51
Thailand,2012,61
Thailand,2015,105
Thailand,2016,149
Thailand,2020,62
Thailand,2022,110
Thailand,2023,113
Thailand,2024,177
Tajikistan,2000,161
Tajikistan,2001,101
Tajikistan,2002,1451
Tajikistan,2003,599
Tajikistan,2004,297
Tajikistan,2005,88
Tajikistan,2006,94
Tajikistan,2007,111
Tajikistan,2008,162
Tajikistan,2009,142
Tajikistan,2010,126
Tajikistan,2011,126
Tajikistan,2012,105
Tajikistan,2013,107
Tajikistan,2014,92
Tajikistan,2015,108
Tajikistan,2016,121
Tajikistan,2017,111
Turkmenistan,2014,1
Turkmenistan,2019,1
Turkmenistan,2020,1
Turkmenistan,2021,1
Trinidad and Tobago,2000,0
Trinidad and Tobago,2001,0
Trinidad and Tobago,2002,0
Trinidad and Tobago,2003,0
Trinidad and Tobago,2004,0
Trinidad and Tobago,2019,1
Trinidad and Tobago,2021,1
Trinidad and Tobago,2022,0
Trinidad and Tobago,2023,0
Tunisia,2000,0
Tunisia,2001,0
Tunisia,2002,0
Tunisia,2013,7
Tunisia,2015,0
Tunisia,2016,1
Tunisia,2017,2
Tunisia,2018,2
Tunisia,2020,0
Tunisia,2021,0
Tunisia,2022,1
Tunisia,2023,1
Türkiye,2000,1004
Türkiye,2001,924
Türkiye,2002,846
Türkiye,2003,720
Türkiye,2004,662
Türkiye,2005,625
Türkiye,2006,604
Türkiye,2007,556
Türkiye,2008,524
Türkiye,2009,491
Türkiye,2010,495
Türkiye,2011,516
Türkiye,2012,567
Türkiye,2013,60
Türkiye,2014,931
Türkiye,2015,1158
Türkiye,2016,1275
Türkiye,2017,1376
Türkiye,2018,1431
Türkiye,2019,1409
Türkiye,2020,1439
Türkiye,2021,1648
Türkiye,2022,1711
Türkiye,2023,3083
"Tanzania, United Republic of",2001,71
"Tanzania, United Republic of",2003,37
"Tanzania, United Republic of",2004,40
"Tanzania, United Republic of",2021,0
"Tanzania, United Republic of",2022,0
"Tanzania, United Republic of",2024,3
Ukraine,2005,3673
Ukraine,2006,4362
Ukraine,2007,4534
Ukraine,2008,4734
Ukraine,2009,4717
Ukraine,2010,3931
Ukraine,2011,3453
Ukraine,2012,2990
Ukraine,2013,2878
Ukraine,2014,2930
Ukraine,2015,1814
Ukraine,2016,1509
Ukraine,2017,1114
Ukraine,2018,783
Ukraine,2019,657
Ukraine,2020,623
Ukraine,2021,1191
Ukraine,2023,655
Ukraine,2024,651
United States,2005,5299
United States,2013,4688
United States,2014,4885
United States,2015,5203
United States,2016,5156
United States,2017,5081
United States,2018,5074
United States,2020,4901
United States,2021,4466
United States,2023,4543
Uzbekistan,2006,16
Uzbekistan,2007,30
Uzbekistan,2008,56
Uzbekistan,2009,60
Uzbekistan,2010,64
Uzbekistan,2011,52
Uzbekistan,2012,87
Uzbekistan,2013,108
Uzbekistan,2014,115
Uzbekistan,2015,129
Uzbekistan,2016,134
Uzbekistan,2017,133
Uzbekistan,2018,174
Uzbekistan,2019,220
Uzbekistan,2021,442
Uzbekistan,2022,572
Uzbekistan,2023,648
Uzbekistan,2024,750
Viet Nam,2000,7
Viet Nam,2001,8
Viet Nam,2002,13
Viet Nam,2003,0
Viet Nam,2005,2
Viet Nam,2007,2
Viet Nam,2008,8
Viet Nam,2010,7
Viet Nam,2011,7
Viet Nam,2012,4
Viet Nam,2013,17
Viet Nam,2014,5
Viet Nam,2015,0
Viet Nam,2016,2
Viet Nam,2017,2
Viet Nam,2019,7
Viet Nam,2020,12
Viet Nam,2021,22
Viet Nam,2022,22
South Africa,2008,0
South Africa,2011,62
South Africa,2012,23
South Africa,2013,30
South Africa,2014,26
South Africa,2015,27
South Africa,2016,31
South Africa,2017,34
South Africa,2018,34
South Africa,2019,27
South Africa,2020,20
South Africa,2021,19
South Africa,2022,13
South Africa,2023,9
